Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2017-18 
CALPADS Fall 1 
Certification Status"
2017-2018,01,61176,6056923,Alameda,Fremont Unified,William Hopkins Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1126,58,5.2%,72,6.4%,1126,58,5.2%,72,6.4%,Y
2017-2018,01,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,778,41,5.3%,50,6.4%,740,40,5.4%,49,6.6%,Y
2017-2018,01,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,717,94,13.1%,106,14.8%,688,92,13.4%,103,15.0%,Y
2017-2018,01,61176,6089619,Alameda,Fremont Unified,Warwick Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,910,133,14.6%,150,16.5%,895,131,14.6%,148,16.5%,Y
2017-2018,01,61176,6090526,Alameda,Fremont Unified,Joshua Chadbourne Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,747,39,5.2%,40,5.4%,747,39,5.2%,40,5.4%,Y
2017-2018,01,61176,6090534,Alameda,Fremont Unified,Mission San Jose Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,550,20,3.6%,22,4.0%,548,19,3.5%,21,3.8%,Y
2017-2018,01,61176,6090542,Alameda,Fremont Unified,Oliveira Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,858,132,15.4%,165,19.2%,831,131,15.8%,164,19.7%,Y
2017-2018,01,61176,6090559,Alameda,Fremont Unified,Steven Millard Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,578,80,13.8%,114,19.7%,578,80,13.8%,114,19.7%,Y
2017-2018,01,61176,6104723,Alameda,Fremont Unified,Ardenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,948,74,7.8%,83,8.8%,934,74,7.9%,83,8.9%,Y
2017-2018,01,61176,6106983,Alameda,Fremont Unified,Fred E. Weibel Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,833,53,6.4%,56,6.7%,822,51,6.2%,54,6.6%,Y
2017-2018,01,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,1013,40,3.9%,48,4.7%,1013,40,3.9%,48,4.7%,Y
2017-2018,01,61192,0000001,Alameda,Hayward Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,13,19.4%,13,19.4%,43,8,18.6%,8,18.6%,Y
2017-2018,01,61192,0108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,N/A,Yes,0684,Directly funded,Y,9,12,593,254,42.8%,364,61.4%,585,252,43.1%,359,61.4%,Y
2017-2018,01,61192,0111815,Alameda,Hayward Unified,Stonebrae Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,746,314,42.1%,349,46.8%,746,314,42.1%,349,46.8%,Y
2017-2018,01,61192,0113902,Alameda,Hayward Unified,Impact Academy of Arts & Technology,Unified School District,High Schools (Public),Traditional,N/A,Yes,0836,Directly funded,Y,7,12,708,359,50.7%,458,64.7%,697,355,50.9%,450,64.6%,Y
2017-2018,01,61192,0119248,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1067,Directly funded,Y,1,8,249,46,18.5%,60,24.1%,249,46,18.5%,60,24.1%,Y
2017-2018,01,61192,0127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1514,Directly funded,Y,K,8,557,285,51.2%,341,61.2%,539,277,51.4%,333,61.8%,Y
2017-2018,01,61192,0127944,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,Unified School District,High Schools (Public),Traditional,N/A,Yes,1543,Directly funded,Y,9,12,198,106,53.5%,116,58.6%,192,104,54.2%,114,59.4%,Y
2017-2018,01,61192,0131334,Alameda,Hayward Unified,Highland,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,12,25,19,76.0%,21,84.0%,25,19,76.0%,21,84.0%,Y
2017-2018,01,61192,0133009,Alameda,Hayward Unified,Brenkwitz High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,187,134,71.7%,147,78.6%,140,100,71.4%,112,80.0%,Y
2017-2018,01,61192,0133629,Alameda,Hayward Unified,Hayward High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1607,980,61.0%,1141,71.0%,1564,952,60.9%,1109,70.9%,Y
2017-2018,01,61192,0135319,Alameda,Hayward Unified,Mt. Eden High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1978,1080,54.6%,1294,65.4%,1930,1053,54.6%,1263,65.4%,Y
2017-2018,01,61192,0138339,Alameda,Hayward Unified,Tennyson High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1446,977,67.6%,1088,75.2%,1360,910,66.9%,1016,74.7%,Y
2017-2018,01,61192,6000889,Alameda,Hayward Unified,Bowman Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,350,231,66.0%,259,74.0%,350,231,66.0%,259,74.0%,Y
2017-2018,01,61192,6000905,Alameda,Hayward Unified,Burbank Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,914,530,58.0%,602,65.9%,902,526,58.3%,598,66.3%,Y
2017-2018,01,61192,6000913,Alameda,Hayward Unified,Cherryland Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,759,496,65.3%,543,71.5%,746,486,65.1%,533,71.4%,Y
2017-2018,01,61192,6000921,Alameda,Hayward Unified,East Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,581,295,50.8%,352,60.6%,581,295,50.8%,352,60.6%,Y
2017-2018,01,61192,6000947,Alameda,Hayward Unified,Eldridge Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,423,257,60.8%,301,71.2%,423,257,60.8%,301,71.2%,Y
2017-2018,01,61192,6000962,Alameda,Hayward Unified,Fairview Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,567,352,62.1%,404,71.3%,561,351,62.6%,403,71.8%,Y
2017-2018,01,61192,6000988,Alameda,Hayward Unified,Glassbrook Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,537,363,67.6%,386,71.9%,522,352,67.4%,374,71.6%,Y
2017-2018,01,61192,6000996,Alameda,Hayward Unified,Harder Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,608,372,61.2%,410,67.4%,608,372,61.2%,410,67.4%,Y
2017-2018,01,61192,6001044,Alameda,Hayward Unified,Longwood Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,663,427,64.4%,463,69.8%,649,418,64.4%,454,70.0%,Y
2017-2018,01,61192,6001051,Alameda,Hayward Unified,Lorin A. Eden Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,421,203,48.2%,236,56.1%,421,203,48.2%,236,56.1%,Y
2017-2018,01,61192,6001093,Alameda,Hayward Unified,Palma Ceia Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,557,344,61.8%,399,71.6%,557,344,61.8%,399,71.6%,Y
2017-2018,01,61192,6001101,Alameda,Hayward Unified,Park Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,552,384,69.6%,423,76.6%,542,379,69.9%,416,76.8%,Y
2017-2018,01,61192,6001127,Alameda,Hayward Unified,Ruus Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,536,326,60.8%,377,70.3%,523,320,61.2%,371,70.9%,Y
2017-2018,01,61192,6001135,Alameda,Hayward Unified,Schafer Park Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,768,477,62.1%,519,67.6%,756,472,62.4%,514,68.0%,Y
2017-2018,01,61192,6001176,Alameda,Hayward Unified,Southgate Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,681,344,50.5%,406,59.6%,665,337,50.7%,398,59.8%,Y
2017-2018,01,61192,6001192,Alameda,Hayward Unified,Treeview Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,500,308,61.6%,343,68.6%,500,308,61.6%,343,68.6%,Y
2017-2018,01,61192,6056931,Alameda,Hayward Unified,Bret Harte Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,613,369,60.2%,424,69.2%,613,369,60.2%,424,69.2%,Y
2017-2018,01,61192,6056949,Alameda,Hayward Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,548,377,68.8%,427,77.9%,548,377,68.8%,427,77.9%,Y
2017-2018,01,61192,6056956,Alameda,Hayward Unified,Anthony W. Ochoa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,571,340,59.5%,394,69.0%,571,340,59.5%,394,69.0%,Y
2017-2018,01,61192,6056972,Alameda,Hayward Unified,Winton Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,509,358,70.3%,404,79.4%,509,358,70.3%,404,79.4%,Y
2017-2018,01,61192,6062160,Alameda,Hayward Unified,Strobridge Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,540,311,57.6%,348,64.4%,540,311,57.6%,348,64.4%,Y
2017-2018,01,61192,6066476,Alameda,Hayward Unified,"Martin Luther King, Jr. Middle",Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,732,448,61.2%,511,69.8%,732,448,61.2%,511,69.8%,Y
2017-2018,01,61192,6090583,Alameda,Hayward Unified,Eden Gardens Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,587,286,48.7%,331,56.4%,575,282,49.0%,327,56.9%,Y
2017-2018,01,61192,6104566,Alameda,Hayward Unified,Tyrrell Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,716,528,73.7%,568,79.3%,716,528,73.7%,568,79.3%,Y
2017-2018,01,61192,6113815,Alameda,Hayward Unified,Faith Ringgold School of Arts and Science,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,140,88,62.9%,101,72.1%,140,88,62.9%,101,72.1%,Y
2017-2018,01,61200,0000001,Alameda,Livermore Valley Joint Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19,2,10.5%,2,10.5%,15,1,6.7%,1,6.7%,Y
2017-2018,01,61200,0130393,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,1,12,133,31,23.3%,31,23.3%,119,28,23.5%,28,23.5%,Y
2017-2018,01,61200,0132670,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,7,12,115,61,53.0%,66,57.4%,100,52,52.0%,56,56.0%,Y
2017-2018,01,61200,0133397,Alameda,Livermore Valley Joint Unified,Granada High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2261,404,17.9%,435,19.2%,2182,382,17.5%,413,18.9%,Y
2017-2018,01,61200,0134536,Alameda,Livermore Valley Joint Unified,Livermore High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1936,407,21.0%,450,23.2%,1871,384,20.5%,426,22.8%,Y
2017-2018,01,61200,0135376,Alameda,Livermore Valley Joint Unified,Lawrence Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,321,37,11.5%,37,11.5%,305,36,11.8%,36,11.8%,Y
2017-2018,01,61200,6001234,Alameda,Livermore Valley Joint Unified,Junction K-8,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,888,546,61.5%,573,64.5%,874,540,61.8%,567,64.9%,Y
2017-2018,01,61200,6001242,Alameda,Livermore Valley Joint Unified,East Avenue Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,648,163,25.2%,191,29.5%,648,163,25.2%,191,29.5%,Y
2017-2018,01,61200,6001259,Alameda,Livermore Valley Joint Unified,Emma C. Smith Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,738,54,7.3%,60,8.1%,722,52,7.2%,58,8.0%,Y
2017-2018,01,61200,6001283,Alameda,Livermore Valley Joint Unified,Jackson Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,552,209,37.9%,226,40.9%,538,206,38.3%,223,41.4%,Y
2017-2018,01,61200,6001291,Alameda,Livermore Valley Joint Unified,Joe Michell,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,799,149,18.6%,185,23.2%,786,149,19.0%,184,23.4%,Y
2017-2018,01,61200,6001317,Alameda,Livermore Valley Joint Unified,Marylin Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,416,307,73.8%,322,77.4%,400,294,73.5%,309,77.3%,Y
2017-2018,01,61200,6001341,Alameda,Livermore Valley Joint Unified,William Mendenhall Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,975,95,9.7%,107,11.0%,975,95,9.7%,107,11.0%,Y
2017-2018,01,61200,6071906,Alameda,Livermore Valley Joint Unified,Arroyo Seco Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,664,131,19.7%,152,22.9%,650,126,19.4%,147,22.6%,Y
2017-2018,01,61200,6085773,Alameda,Livermore Valley Joint Unified,Andrew N. Christensen Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,717,125,17.4%,147,20.5%,717,125,17.4%,147,20.5%,Y
2017-2018,01,61200,6089338,Alameda,Livermore Valley Joint Unified,Rancho Las Positas Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,602,124,20.6%,136,22.6%,590,123,20.8%,134,22.7%,Y
2017-2018,01,61200,6097661,Alameda,Livermore Valley Joint Unified,Sunset Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,776,54,7.0%,58,7.5%,764,54,7.1%,58,7.6%,Y
2017-2018,01,61200,6110332,Alameda,Livermore Valley Joint Unified,Leo R. Croce Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,5,610,130,21.3%,147,24.1%,593,129,21.8%,146,24.6%,Y
2017-2018,01,61200,6117543,Alameda,Livermore Valley Joint Unified,Altamont Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,595,106,17.8%,116,19.5%,579,104,18.0%,114,19.7%,Y
2017-2018,01,61218,6001358,Alameda,Mountain House Elementary,Mountain House Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,20,16,80.0%,16,80.0%,20,16,80.0%,16,80.0%,Y
2017-2018,01,61234,0000001,Alameda,Newark Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,1,14.3%,1,14.3%,6,1,16.7%,1,16.7%,Y
2017-2018,01,61234,0130054,Alameda,Newark Unified,Newark Memorial High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1789,673,37.6%,802,44.8%,1742,650,37.3%,777,44.6%,Y
2017-2018,01,61234,0130484,Alameda,Newark Unified,Crossroads High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,55,30,54.5%,31,56.4%,53,30,56.6%,31,58.5%,Y
2017-2018,01,61234,0135426,Alameda,Newark Unified,Bridgepoint High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,62,39,62.9%,40,64.5%,48,33,68.8%,34,70.8%,Y
2017-2018,01,61234,6001440,Alameda,Newark Unified,August Schilling Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,413,276,66.8%,312,75.5%,385,264,68.6%,299,77.7%,Y
2017-2018,01,61234,6001457,Alameda,Newark Unified,E. L. Musick Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,295,169,57.3%,191,64.7%,294,169,57.5%,191,65.0%,Y
2017-2018,01,61234,6001473,Alameda,Newark Unified,H. A. Snow Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,360,161,44.7%,192,53.3%,359,161,44.8%,192,53.5%,Y
2017-2018,01,61234,6001481,Alameda,Newark Unified,James A. Graham Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,412,245,59.5%,276,67.0%,412,245,59.5%,276,67.0%,Y
2017-2018,01,61234,6001499,Alameda,Newark Unified,Birch Grove Primary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,408,122,29.9%,141,34.6%,395,121,30.6%,140,35.4%,Y
2017-2018,01,61234,6001507,Alameda,Newark Unified,John F. Kennedy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,390,100,25.6%,113,29.0%,388,100,25.8%,113,29.1%,Y
2017-2018,01,61234,6001523,Alameda,Newark Unified,Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,388,177,45.6%,207,53.4%,370,169,45.7%,199,53.8%,Y
2017-2018,01,61234,6001531,Alameda,Newark Unified,Birch Grove Intermediate,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,3,6,458,169,36.9%,205,44.8%,458,169,36.9%,205,44.8%,Y
2017-2018,01,61234,6102917,Alameda,Newark Unified,Newark Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,876,385,43.9%,483,55.1%,876,385,43.9%,483,55.1%,Y
2017-2018,01,61242,0000001,Alameda,New Haven Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,2,11.1%,2,11.1%,13,1,7.7%,1,7.7%,Y
2017-2018,01,61242,0110460,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraballo High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,154,69,44.8%,79,51.3%,125,55,44.0%,62,49.6%,Y
2017-2018,01,61242,0110478,Alameda,New Haven Unified,Alternative Learning Academy at Conley-Caraballo High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,11,6,54.5%,7,63.6%,7,5,71.4%,5,71.4%,Y
2017-2018,01,61242,0126763,Alameda,New Haven Unified,Decoto School for Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,118,56,47.5%,59,50.0%,103,51,49.5%,54,52.4%,Y
2017-2018,01,61242,0134668,Alameda,New Haven Unified,James Logan High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,3735,1360,36.4%,1734,46.4%,3628,1308,36.1%,1673,46.1%,Y
2017-2018,01,61242,6001572,Alameda,New Haven Unified,Alvarado Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,767,311,40.5%,395,51.5%,752,305,40.6%,388,51.6%,Y
2017-2018,01,61242,6001606,Alameda,New Haven Unified,Hillview Crest Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,540,311,57.6%,387,71.7%,525,305,58.1%,379,72.2%,Y
2017-2018,01,61242,6001622,Alameda,New Haven Unified,Searles Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,673,371,55.1%,443,65.8%,664,367,55.3%,439,66.1%,Y
2017-2018,01,61242,6068266,Alameda,New Haven Unified,Itliong-Vera Cruz,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1378,429,31.1%,557,40.4%,1378,429,31.1%,557,40.4%,Y
2017-2018,01,61242,6097679,Alameda,New Haven Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1252,645,51.5%,778,62.1%,1252,645,51.5%,778,62.1%,Y
2017-2018,01,61242,6101604,Alameda,New Haven Unified,Pioneer Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,795,232,29.2%,304,38.2%,777,226,29.1%,296,38.1%,Y
2017-2018,01,61242,6115505,Alameda,New Haven Unified,Tom Kitayama Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,811,297,36.6%,358,44.1%,794,292,36.8%,353,44.5%,Y
2017-2018,01,61242,6115554,Alameda,New Haven Unified,Guy Jr. Emanuele Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,586,298,50.9%,358,61.1%,568,291,51.2%,349,61.4%,Y
